131;326002997;Агромаш 90ТГ3047А (Bara) [1772 ак 63];Инв №112043(Борт№49);
132;326001578;Амкодор 332В [9346 се 63];инв 111507;
133;326001474;Амкодор 332В [9636 се 63];инв 111518;
134;326003105;Амкодор 333А [5332 ср 63];инв 108089;
135;326003030;Амкодор 333В [3464 се 63];Сабетта;
136;326003106;Амкодор 333В [8123 се 63];Сабетта инв 111552;
137;326001851;Амкодор 342В [1980 ак 63];112175;
138;326001821;Амкодор 342В [1981 ак 63];112176;
139;326000050;Амкодор 342В [1982 ак 63];инв 112173;
140;217003127;Амкодор 342В [1983 ак 63];инв 112174;
141;326004306;Амкодор 342В [4537 су 63];108885;
142;326002998;Амкодор 342В [7618 са 63];Сабетта инв 108626;
143;326002747;Амкодор 352 [5085 ак 63];113360;
144;326004357;Балканкар [100021];;
145;326004230;Балканкар ДВ1792 [100026];10026;
146;216001645;Бензовоз УРАЛ-5668 [к 223 ем 163];223;
147;326001708;Бетоносмеситель КАМАЗ 365115 [А 930 ХВ 163];;
148;326002696;Бортовой Мицубиси L200 2,4 [О 007 АТ 163];;
149;326001622;Бортовой Газ-С41R33 [а 686 тс 763];;
150;326002468;Бортовой Камаз-6522 [о 539 ам 163];о539ам163;
151;326001589;Бортовой УРАЛ УСТ 5453 [а 460 тс 763];;
152;326002378;Бортовой УРАЛ УСТ 54532Е [а 413 тс 763];;
153;326002657;Бортовой УРАЛ УСТ 54532Е [в 940 мт 89];в940мт89;
154;326004352;ВАЗ НИВА 4*4 [в 880 мс 763];;
155;326004095;Водовоз УРАЛ 4320 [т 978 рх 163];;
156;326001644;Водовоз УРАЛ УЗСТ 6620 [а 622 тс 763];;
157;326002477;Водовоз УРАЛ-4320 [р 577 ах 163];р577ах163;
158;326002373;Водовоз УРАЛ-4320 [р 648 ок 163];;
159;217003328;Водовоз УРАЛ-4320-УСТ 45322 [В 850 МТ 89];;
160;326002478;Водовоз УРАЛ-461501 [м 936 ое 63];м936ое63;
161;326002473;Водовоз УРАЛ-567501-11 [н 342 ва 163];;
162;326002656;Водовоз УРАЛ-5960 [а 345 хв 163];а345хв163;
163;326000063;Водовоз УРАЛ-5960 [о 519 вв 63];;
164;326000051;Г/пассажирский УАЗ-2206 [а 549 ое 763];;
165;216003153;Г/пассажирский УАЗ-22069 [с 628 ха 163];;
166;326001536;Г/подъемник Камаз(Чайка-Сервис2784) [а 803 ка 763];;
167;326001580;Г/подъемник Камаз(Чайка-Сервис2784) [а 839 ка 763];;
168;326001535;Г/подъемник Камаз(Чайка-Сервис2784) [а 842 ка 763];;
169;326003154;Г/подъемник УРАЛ-4320 [а 334 тс 763];;
170;326003145;Г/подъемник УРАЛ-4320 [а 374 тс 763];;
171;326002625;Г/подъемник УРАЛ-4320-ВС 28У [Е 604 ТР 82];;
172;326002697;ГАЗ [а 905 ун 763];;
173;326003945;ГАЗ [а 943 ун 763];;
174;326004017;ГАЗ [а 960 ун 763];;
175;326006669;ГАЗ [в 830 он 763] (vin 2712);;
176;326006616;ГАЗ [в 887 он 763] (vin 2715);;
177;326006617;ГАЗ [в 899 он 763] (vin 2713);;
178;326006362;ГАЗ [в 922 он 763] (vin 2714);;
179;326006278;ГАЗ [ву 477 63];;
180;216003244;ГАЗ [ву 479 63];;
181;326001863;ГАЗ [е 249 тр 82];;
182;326001982;ГАЗ [е 368 тр 82];;
183;326001860;ГАЗ [е 376 тр 82];;
184;326001966;ГАЗ [е 689 тр 82];;
185;326001948;ГАЗ [е 750 тр 82];;
186;326001702;ГАЗ [е 763 тр 82];;
187;326001634;ГАЗ [ев 918 63];;
188;326001723;ГАЗ [ев 921 63];;
189;326002095;ГАЗ [ев 922 63];;
190;203020410;ГАЗ [о 004 ос 163];;
191;326000658;ГАЗ [о 899 хв 163];;
192;326002156;ГАЗ [о 910 хв 163];;
193;203020413;ГАЗ [р 465 та 163];;
194;217003395;ГАЗ [с 086 вв 163];;
195;326008751;ГАЗ [с 222 во 163];;
196;216003251;ГАЗ [с 229 во 163];;
197;216003256;ГАЗ [с 230 во 163];;
198;216003630;ГАЗ [с 377 кн 163];;
199;216003631;ГАЗ [с 415 ее 163];;
200;326001965;ГАЗ [с 739 хк 163];;
201;326002100;ГАЗ [с 756 хк 163];;
202;326001883;ГАЗ [у 722 ср 163];;
203;326006401;"Газ ""Соболь"" [в 780 он 763]";(№9804);
204;326006365;"Газ ""Соболь"" [в 794 он 763]";(№9319);
205;326006364;"Газ ""Соболь"" [в 800 он 763]";(№9707);
206;326006400;"Газ ""Соболь"" [в 831 он 763]";(№9643);
207;326002455;Газ [8792 ср 63];;
208;326002383;Газ [а 553 рх 89];;
209;326001880;Газ [е 395 тр 82];;
210;326003281;Газ [е 734 тр 82];;
211;326001741;Газ [ев 919 63];;
212;326002482;Газ [о 666 хе 163];о666хе163;
213;203031044;Газ [р 602 ем 163];;
214;203031054;Газ [р 833 ум 163];;
215;326003280;Газ [с 372 кн 163];;
216;326003282;Газ [с 462 вв 163];;
217;203031043;Газ [с 663 ур 163];;
218;326003061;Газ [с 684 хк 163];;
219;326004283;Голаз [н 001 кв 63];;
220;326008697;Д3-98 [5450 ак 63];;
221;326004408;ДЗ-143 [4565 ср 63];;
222;217003357;ДЗ-171 [4577 ср 63];100079;
223;326007755;ДЗ-98 [4552 ср 63];;
224;326008759;ДЗ-98 [5751 ак 63];;
225;326002681;ДЭК-323 [4657 се 63];110943;
226;326002626;ДЭК-401 [3526 се 63];110710;
227;326002611;ДЭК-401 [4676 ак 63];-113147;
228;326002721;ДЭК-401 [4814 ак 63];113218;
229;326004094;ДЭК-401 [8245 ак 63];;
230;326001445;ДЭК-401 [9343 се 63];инв 111716;
231;326001601;ДЭК-401 [9348 се 63];инв 111717;
232;326001600;ДЭК-401 [9349 се 63];инв 111413;
233;326001486;ДЭК-401 [9350 се 63];инв 111718;
234;326001583;ДЭК-401 [9762 се 63];инв 111679;
235;326002722;ДЭС [107915];;
236;326003024;Ду-100 [3915 ср 63];;
237;326003263;Ду-47 [2790 ср 63];;
238;203031042;ЗиЛ [р 945 на 63] АГП;;
239;326001831;К-701 [3910 ср 63];102124;
240;326003197;К-702МВА-УДМ2 [4946 су 63];инв 108931;
241;326003196;К-703МА-0С [2997 ср 63];инв 107844;
242;217003387;К-703МА-12-04 [2180 см 63];;
